LEGAL_ENTITY_NAME,PREMISES_NAME,DHB,STREET_ADDRESS_OTHER,STREET_ADDRESS,STREET_ADDRESS_SUBURB_RD,STREET_ADDRESS_TOWN_CITY,STREET_ADDRESS_POST_CODE
Milson Pharmacy Limited,Milson Pharmacy,MidCentral DHB,,79 Milson Line,Milson,PALMERSTON NORTH,4414
Milton Pharmacy Limited,Milton Pharmacy,Southern DHB,,71 Union Street,,MILTON,9220
Mishrikipharmacy Limited,Avondale Medical Pharmacy,Auckland DHB,,256 Rosebank Road,Avondale,AUCKLAND,1026
Mitchells Pharmacy Limited,Unichem Arrowtown Pharmacy,Southern DHB,,20 Buckingham Street,,Arrowtown,9302
Mmishriki Limited,Glenavon Pharmacy,Auckland DHB,,268 Blockhouse Bay Road,Avondale,AUCKLAND,0600
Moera Pharmacy (2017) Limited,Moera Pharmacy,Hutt Valley DHB,,139 Randwick Road,Moera,Lower Hutt,5010
Mohammed Saad Al-Sabti,Fencibles Pharmacy,Counties Manukau DHB,,2/2 Fencible Drive,Howick,AUCKLAND,2014
Moore's Med Centre Pharmacy Limited,Thames Centre Pharmacy,Waikato DHB,,817 Rolleston Street,,THAMES,3500
Moorhouse Pharmacy 2003 Limited,Unichem Moorhouse Pharmacy,Canterbury DHB,,3 Pilgrim Place,Sydenham,Christchurch,8011
Mornington Pharmacy Limited,Mornington Pharmacy Limited,Southern DHB,,170 Eglinton Road,Mornington,DUNEDIN,9011
Morrison & Esquilant Limited,Pharmacy 145 on Victoria,Whanganui DHB,,145 Victoria Avenue,,Whanganui,4500
Mortimers & Frasers Pharmacy Limited,Life Pharmacy Blenheim,Nelson Marlborough DHB,,101A Market Street,,BLENHEIM,7201
Mosgiel Health Centre Pharmacy Limited,Mosgiel Health Centre Pharmacy Limited,Southern DHB,,23 Inglis Street,,MOSGIEL,9024
Mount Pharmacy Limited,Mount Pharmacy,Bay of Plenty DHB,,132 Maunganui Road,,MOUNT MAUNGANUI,3116
Mount Street Pharmacy Limited,Mahia Road Pharmacy,Counties Manukau DHB,,153 Mahia Road,Wattle Downs,AUCKLAND,2103
Mt Albert Village Pharmacy Limited,Mt Albert Village Pharmacy,Auckland DHB,,901 New North Road,Mount Albert,Auckland,1025
Mt Smart Pharmacy 2015 Limited,Unichem Mt Smart Pharmacy,Auckland DHB,,233 Mount Smart Road,Onehunga,Auckland,1061
Mt Taranaki Pharmacy Limited,Merrilands Pharmacy,Taranaki DHB,,"Shop 1, 200 Mangorei Road",Merrilands,New Plymouth,4312
Munro Burgess Limited,Unichem Cambridge Medical Pharmacy,Waikato DHB,,48 Alpha Street,,CAMBRIDGE,3450
Munro Burgess Limited,Unichem Cambridge Pharmacy,Waikato DHB,,52 Victoria Street,,CAMBRIDGE,3450
Musselburgh Pharmacy Limited,Macandrew Bay Pharmacy,Southern DHB,,490 Portobello Road,Macandrew Bay,DUNEDIN,9014
Musselburgh Pharmacy Limited,Musselburgh Pharmacy Limited,Southern DHB,,59 - 61 Musselburgh Rise,Musselburgh,DUNEDIN,9013
NDL Pharmaceuticals Limited,Royal Oak Pharmacy,Auckland DHB,,703A Manukau Road,Royal Oak,AUCKLAND,1023
Naenae Pharmacy Limited,Naenae Pharmacy Limited,Hutt Valley DHB,,29 Hillary Court,Naenae,LOWER HUTT,5011
Napier Balmoral Pharmacy Limited,Napier Balmoral Pharmacy Limited,Hawkes Bay DHB,,25 Munroe Street,Napier South,Napier,4110
Nelson City Pharmacy Limited,Life Pharmacy Nelson City,Nelson Marlborough DHB,Tenancy 2,191 Trafalgar Street,,Nelson,7010
Nelson Marlborough District Health Board,Nelson Hospital Pharmacy,Nelson Marlborough DHB,"Level 6, Percy Brunette Building",Tipahi Street,Nelson Hospital,Nelson,7042
Nelson Marlborough District Health Board,Wairau Hospital Pharmacy,Nelson Marlborough DHB,,Hospital Road,,BLENHEIM,7240
Neptune Pharmacy (2017) Limited,Unichem Springlands Pharmacy,Nelson Marlborough DHB,Shop 2,131 Middle Renwick Road,Springlands,Blenheim,7201
Netherby Pharmacy Limited,Netherby Pharmacy,Canterbury DHB,,214 Chalmers Avenue,,ASHBURTON,7700
Neville Kane Pharmacy (2003) Limited,Neville Kane Pharmacy,Waikato DHB,,960 Victoria Street,Whitiora,HAMILTON,3200
New Lynn Pharmacy (2015) Limited,Unichem New Lynn Pharmacy,Waitemata DHB,,19 Delta Avenue,New Lynn,AUCKLAND,0600
New Lynn West Dispensary Limited,New Lynn West Pharmacy,Waitemata DHB,,84A Titirangi Road,New Lynn,Auckland,0600
New North Pharmacy Limited,New North Pharmacy Limited,Auckland DHB,,944 New North Road,Mt Albert,AUCKLAND,1025
New Plymouth Pharmacy (2015) Limited,Life Pharmacy New Plymouth,Taranaki DHB,"Shop 13, Centre City Shopping Centre,",11 Gill Street,,NEW PLYMOUTH,4310
Newmarket Pharmacy Limited,Unichem Broadway Pharmacy,Auckland DHB,,197 Broadway,Newmarket,Auckland,1023
Newsham Park Pharmacy Limited,Newsham Park Pharmacy,Counties Manukau DHB,,41-45 Twomey Drive,,PUKEKOHE,2120
Newton Pharmacy Holdings Limited,Newton A-Z Pharmacy,Auckland DHB,,357 Karangahape Road,Auckland Central,Auckland,1010
Newtown Mall Chemists Limited,Newtown Mall Unichem Pharmacy,Capital and Coast DHB,"Shops 1, 2 & 3, Newtown Shopping Mall",195 Riddiford Street,Newtown,WELLINGTON,6021
Newtown Medical Centre Pharmacy Limited,Newtown Medical Centre Dispensary,Capital and Coast DHB,,33 Rintoul Street,Newtown,Wellington,6011
Newtown Pharmacy Limited,John Castle Chemists,Capital and Coast DHB,,139 Riddiford Street,Newtown,Wellingotn,6021
Ngaio Pharmacy Limited,Village Pharmacy Ngaio,Capital and Coast DHB,,57 Ottawa Road,Ngaio,WELLINGTON,6035
Ngatea Pharmacy (2015) Limited,Ngatea Feelgood Pharmacy,Waikato DHB,Shop 20,20 Orchard West Road,,NGATEA,3503
Ngongotaha Pharmacy Limited,Ngongotaha Pharmacy Limited,Lakes DHB,,17 Taui Street,Ngongotaha,ROTORUA,3010
Nick & Rima Limited,Hunters Corner Medical Centre Pharmacy,Counties Manukau DHB,,28 Hoteo Avenue,Papatoetoe,AUCKLAND,2025
Nicnat Limited,Mt Eden Pharmacy,Auckland DHB,,431 Mount Eden Road,Mount Eden,AUCKLAND,1024
Nico Jacobs Pharmacy Limited,City Care Pharmacy,Taranaki DHB,,10 Egmont Street,,NEW PLYMOUTH,4310
Nicola Johns Pharmacy Limited,Nicola Johns Pharmacy Limited,Auckland DHB,,37 Mayfair Place,Glen Innes,Auckland,1072
Nie's Pharmacy Limited,North Otago Pharmacy,Southern DHB,,213 - 215 Thames Street,,Oamaru,9400
North Harbour Pharmacy 2015 Limited,North Harbour Pharmacy,Waitemata DHB,Unit 1,326 Sunset Road,Windsor Park,AUCKLAND,0632
North Star Pharmacy Limited,North Star Pharmacy,Waitemata DHB,Shop 2,62 Hurstmere Road,Takapuna,Auckland,0622
Northcare 7 Day Pharmacy Limited,Northcare 7 Day Pharmacy,Waitemata DHB,,5 Home Place,Rosedale,Auckland,0632
Northcare Pukete Pharmacy (2016) Limited,Northcare Pukete Pharmacy,Waikato DHB,,10A Pukete Road,Saint Andrews,HAMILTON,3200
Northcare Thomas Rd Pharmacy (2016) Limited,Northcare Thomas Rd Pharmacy,Waikato DHB,,107 Thomas Road,Huntingdon,Hamilton,3210
Northcote Pharmacy Limited,Northcote Family Pharmacy,Waitemata DHB,,2/47 Pearn Crescent,Northcote,Auckland,0627
Northcross Pharmacy Limited,Northcross Pharmacy Limited,Waitemata DHB,,855 East Coast Road,Northcross,Auckland,0630
Northland District Health Board,Whangarei Hospital Pharmacy,Northland DHB,Pharmacy Department,Whangarei Hospital,Maunu Road,Whangarei,0110
Northlands Pharmacy (2003) Limited,Life Pharmacy Northlands,Canterbury DHB,"Shop 84, Northlands Mall",55 Main Road North,Papanui,CHRISTCHURCH,8052
Northmed Pharmacy Limited,Northmed Pharmacy,Waitemata DHB,,"Suite 3, 3 Akoranga Drive",Northcote,Auckland,0627
NutriRx Limited,Pharmcare Pharmacy,Waitemata DHB,,3084 Great North Road,New Lynn,AUCKLAND,0600
Oamaru Pharmacy 2018 Limited,Oamaru Pharmacy 2018 Limited,Southern DHB,,171 - 173 Thames Street,,Oamaru,9400
Ohope Beach Pharmacy 2014 Limited,Ohope Beach Pharmacy 2014 Limited,Bay of Plenty DHB,,262 Pohutukawa Avenue,,OHOPE,3121
Olsens Pharmacy (2002) Limited,Olsen's Health Centre Pharmacy,West Coast DHB,,30 - 34 Tainui Street,,Greymouth,7805
Olsens Pharmacy (2002) Limited,Unichem Olsen's Pharmacy,West Coast DHB,,1 Guinness Street,,GREYMOUTH,7805
Olympic Pharmacy Limited,Unichem Owles Pharmacy,Hutt Valley DHB,,45-47 Everest Avenue,Naenae,Lower Hutt,5011
Omokoroa Pharmacy Limited,Omokoroa Pharmacy,Bay of Plenty DHB,,170 Omokoroa Road,Omokoroa,TAURANGA,3172
Onehunga Family Pharmacy Limited,Onehunga Family Pharmacy,Auckland DHB,,163A Onehunga Mall,Onehunga,AUCKLAND,1061
Onerahi Pharmacy Limited,Unichem Onerahi Pharmacy,Northland DHB,,116 Onerahi Road,Onerahi,WHANGAREI,0110
Optimus Healthcare Limited,Optimus Healthcare,Auckland DHB,,Unit 4B Walls Road,Penrose,AUCKLAND,1061
Orangi Pharmacy and Health Limited,Darfield Pharmacy,Canterbury DHB,,58 South Terrace,,DARFIELD,7510
Orewa Care Chemist Limited,Life Pharmacy Orewa,Waitemata DHB,,8D Tamariki Ave,,OREWA BEACH,0931
Ormiston Hospital Pharmacy Limited,Ormiston Hospital Pharmacy Limited,Counties Manukau DHB,,2/125 Ormiston Road,Flat Bush,AUCKLAND,2019
Orrs Cameron Pharmacy Limited,Life Pharmacy Orrs,Northland DHB,,48 Cameron Street Mall,,Whangarei,0110
Orrs Kaikohe Pharmacies Limited,Orrs Unichem Pharmacy Kaikohe,Northland DHB,,34 Broadway,,KAIKOHE,0405
Orrs Kaipara Pharmacies Limited,Orrs Unichem Pharmacy - Dargaville,Northland DHB,,Corner of Hokianga Road and Parenga Street,,Dargaville,0310
Orrs Maungaturoto Pharmacy Limited,Unichem Orrs Pharmacy Maungaturoto,Northland DHB,,144-146 Hurndall Street West,,Maungaturoto,0520
Orrs Ruakaka Pharmacy Limited,Orrs Unichem Pharmacy Ruakaka,Northland DHB,"Shop 16, Ruakaka Town Centre",Marsden Point Road,,RUAKAKA,0151
Orrs Rust Ave Pharmacy Limited,Orrs Kowhai Pharmacy,Northland DHB,"Unit B, Kowhai Court",27 Rust Avenue,,Whangarei,0110
Orrs Rust Ave Pharmacy Limited,Orrs Medicine Packaging Pharmacy,Northland DHB,"Unit E, Kowhai Court",27 Rust Avenue,,Whangarei,0110
Orrs Tui Pharmacy Limited,Unichem Orrs Pharmacy Tui,Northland DHB,,7 Tui Crescent,Maunu,Whangarei,0110
Ostend Village Pharmacy Limited,Ostend Village Pharmacy Limited,Auckland DHB,,9A Belgium Street,Ostend,WAIHEKE ISLAND,1081
Otahuhu Central Pharmacy Limited,Unichem Otahuhu Health Centre Pharmacy,Auckland DHB,Shop 7A,507 Great South Road,Otahuhu,Auckland,1062
Otahuhu Community Pharmacy Limited,Otahuhu Community Pharmacy,Auckland DHB,,115 Church Street,Otahuhu,Auckland,1062
Otahuhu Healthcare Pharmacy Limited,Unichem Otahuhu Mainstreet Pharmacy,Auckland DHB,,461 Great South Road,Otahuhu,AUCKLAND,1062
Otahuhu Medical Clinic Pharmacy Limited,Otahuhu Medical Clinic Pharmacy,Auckland DHB,,463 Great South Road,Otahuhu,AUCKLAND,1062
Otara Community Pharmacy Limited,Unichem Otara Pharmacy,Counties Manukau DHB,,"Unit 1, 120 East Tamaki Road",Otara,Auckland,2023
Owhata Pharmacy Limited,Owhata Pharmacy,Lakes DHB,,553 Te Ngae Road,Owhata,Rotorua,3010
Oxford Pharmacy (2013) Limited,Oxford Pharmacy,Canterbury DHB,,49B Main Street,,OXFORD,7430
P W Ferreira Limited,Lake Taupo Pharmacy,Lakes DHB,,117 Heuheu Street,,Taupo,3330
PA-MA-KO Limited,Unichem Parkside Pharmacy,Canterbury DHB,,2 Riccarton Avenue,Riccarton,CHRISTCHURCH,8011
PCO Pharmacies Limited,Unichem Beerescourt Pharmacy,Waikato DHB,,1365 Victoria Street,Beerescourt,Hamilton,3200
PCO Pharmacies Limited,Unichem Grey Street Pharmacy,Waikato DHB,,354 Grey Street,Hamilton East,Hamilton,3216
PCS Pharmacy Limited,Mangere Pharmacy,Counties Manukau DHB,"Shop 48, Mangere Town Centre",93 Bader Drive,Mangere,Auckland,1010
PTL Investments Limited,Whitby Pharmacy,Capital and Coast DHB,Shops 8 and 9,Whitby Village Centre,Whitby,WELLINGTON,5024
PTL Woburn Limited,Woburn Pharmacy,Hutt Valley DHB,,66 Whites Line East,Waiwhetu,Lower Hutt,5010
Pahurehure Pharmacy Limited,Pahurehure Pharmacy,Counties Manukau DHB,"Shops 7 & 7A, Pahurehure Shopping Centre",corner Elliot Street & Rushgreen Avenue,Papakura,Auckland,2113
Paihia Pharmacy Limited,Paihia Pharmacy,Northland DHB,,4 Williams Road,,Paihia,0200
Pakuranga Pharmacy Limited,Pakuranga Pharmacy,Counties Manukau DHB,,96 Ti Rakau Drive,Pakuranga,Auckland,2010
Palechori Limited,Life Pharmacy Baycourt Kilbirnie,Capital and Coast DHB,"Shop 9, Kilbirnie Plaza",26 Bay Road,Kilbirnie,Wellington,6022
Palm Springs Pharmacy Limited,My Pharmacy Palm Springs,Bay of Plenty DHB,,3 Palm Springs Boulevard,Papamoa Beach,Papamoa,3118
Palms Pharmacy (2013) Limited,Life Pharmacy The Palms,Canterbury DHB,"Shop 7, The Palms Shopping Centre",19-21 Marshland Road,Shirley,CHRISTCHURCH,8061
Palomino Pharmacy Limited,Palomino Pharmacy,Waitemata DHB,,7/138 Sturges Road,Henderson,Auckland,0612
Papakura Family Pharmacy Limited,Urban Pharmacy,Counties Manukau DHB,,207 Great South Road,Papakura,Auckland,2110
Papakura Pharmacy Limited,Unichem Papakura Pharmacy,Counties Manukau DHB,Ground Floor,285-291 Great South Road,,Papakura,2110
Papamoa Pines Pharmacy Limited,Unichem Papamoa Pharmacy,Bay of Plenty DHB,,26 Gravatt Road,Papamoa Beach,Papamoa,3118
Papanui Pharmacy (2008) Limited,Papanui Pharmacy,Canterbury DHB,,438 Papanui Road,Strowan,Christchurch,8052
Papatoetoe City Centre Pharmacy Limited,Unichem Papatoetoe Pharmacy,Counties Manukau DHB,,3/63 St George Street,Papatoetoe,Auckland,2025
Papatoetoe Pharmacy Limited,Your Health Centre Pharmacy,Counties Manukau DHB,,488 Great South Road,Papatoetoe,AUCKLAND,1701
Parie Pharmaceuticals Limited,Balmoral Pharmacy,Auckland DHB,,611 Dominion Road,Mount Eden,Auckland,1041
Parklands Pharmacy (2015) Limited,Unichem Parklands Pharmacy,Canterbury DHB,"Shops 4-6, Parklands Shopping Centre",60 Queenspark Drive,Parklands,CHRISTCHURCH,8083
Parkside Pharmacy Auckland Limited,Parkside Pharmacy Auckland Limited,Auckland DHB,Level 9,57 Fort Street,Auckland Central,Auckland,1010
Paul Messerschmidt Limited,Parkvale Pharmacy,Hawkes Bay DHB,,3/800 St Aubyn Street East,,HASTINGS,4122
Peak Pharmacy Limited,Dentons Peak Pharmacy,Hawkes Bay DHB,,33 - 35 Napier Road,,HAVELOCK NORTH,4130
Pegasus Pharmacy Practice Limited,Pegasus Pharmacy,Canterbury DHB,,52 Pegasus Main Street,,Pegasus,7612
Peninsula Health (2010) Limited,Akaroa Pharmacy,Canterbury DHB,,55 Beach Road,,AKAROA,7520
Peninsula Pharmacy Limited,Unichem Harbour View Pharmacy,Waitemata DHB,,382-386 Te Atatu Road,Te Atatu Peninsula,Auckland,0610
Peninsula Pharmacy Limited,Unichem Peninsula Pharmacy,Waitemata DHB,,550 Te Atatu Road,Te Atatu Peninsula,Auckland,0610
Peter Balle Pharmacy Limited,Peter Balle Pharmacy Limited,Auckland DHB,,303A Kepa Road,Mission Bay,AUCKLAND,1071
Peter Boles Pharmacy Limited,Peter Boles Pharmacy Limited,Counties Manukau DHB,,6/33 Fellbrook Street,Manurewa,Auckland,2102
Peter Sloggett Limited,Mangere Health Centre Pharmacy,Counties Manukau DHB,Mangere Health Centre,6 Waddon Place,Mangere,Auckland,2022
Peter Sugden Pharmacy Limited,Taradale Medical Pharmacy,Hawkes Bay DHB,,20 Puketapu Road,Taradale,NAPIER,4112
Peter Sugden Pharmacy Limited,Unichem Taradale Pharmacy,Hawkes Bay DHB,,288 Gloucester Street,Taradale,NAPIER,4112
Petone Pharmacy Limited,Unichem Petone Pharmacy,Hutt Valley DHB,,240 - 242 Jackson Street,Petone,Lower Hutt,5012
Petros Pharmacy Limited,West Harbour Pharmacy,Waitemata DHB,Shop 6,45 Luckens Road,West Harbour,AUCKLAND,0618
Pewhairangi & Brown Limited,Horouta Pharmacy,Tairawhiti DHB,,92 De Latour Road,Inner Kaiti,Gisborne,4010
Pharmaceutical Compounding NZ Limited,Compound Labs,Waitemata DHB,,62C Diana Drive,Wairau Valley,AUCKLAND,0627
Pharmacy 2000 NZ Limited,Unichem Airport Pharmacy,Counties Manukau DHB,,"Suite 4, 400 George Bolt Memorial Drive",Auckland Airport,Auckland,2022
Pharmacy 257 Limited,Pharmacy 257 Limited,Bay of Plenty DHB,,257 Maunganui Road,,MOUNT MAUNGANUI,3116
Pharmacy 277 Limited,Life Pharmacy Newmarket,Auckland DHB,Shop 1,300 - 302 Broadway,Newmarket,Auckland,1023
Pharmacy 44 Limited,Pharmacy 44 On Pukaki,Lakes DHB,,1135 Pukaki Street,,ROTORUA,3010
Pharmacy 44 Limited,Pharmacy 44 on Hinemoa,Lakes DHB,,1276 Hinemoa Street,,ROTORUA,3010
Pharmacy 455 Mt Eden Limited,Pharmacy 455 Mt Eden,Auckland DHB,,455D Mt Eden Road,Mt Eden,AUCKLAND,1024
Pharmacy 53 Limited,Pharmacy 53,Tairawhiti DHB,,10 Ballance Street,Whataupoko,Gisborne,4010
Pharmacy 547 Limited,Pharmacy 547,Waikato DHB,,531 Grey Street,Hamilton East,HAMILTON,3216
Pharmacy 547 Limited,Pharmacy 547 at Enderley,Waikato DHB,,66 Tennyson Road,Enderley,Hamilton,3214
Pharmacy At Anglesea Limited,Anglesea Pharmacy,Waikato DHB,"Gate 2, Anglesea Clinic",7-9 Thackeray Street,Hamilton Central,HAMILTON,3204
Pharmacy At Quay Park 2018 Limited,Pharmacy At Quay Park 2018 Limited,Auckland DHB,,68 Beach Road,Auckland Central,Auckland,1010
Pharmacy B102 Limited,Unichem Metro Pharmacy Bethlehem,Bay of Plenty DHB,"Shops A8 & A9, Bethlehem Town Centre",19 Bethlehem Road,Bethlehem,TAURANGA,3110
Pharmacy Care Group Limited,Unichem Northern Clinic Pharmacy,Waitemata DHB,,212 Wairau Road,Wairau Valley,Auckland,0627
Pharmacy Direct North Shore Limited,Pharmacy Direct,Waitemata DHB,,45A Paul Matthews Road,Rosedale,AUCKLAND,0632
Pharmacy Enterprises (2004) Limited,Dee Street Pharmacy,South Canterbury DHB,,5 Dee Street,,TIMARU,7910
Pharmacy Futures Limited,Sanders Pharmacy,Waikato DHB,,3/670 Cambridge Road,,Te Awamutu,3800
Pharmacy G101 Limited,Life Pharmacy Queensgate,Hutt Valley DHB,"Shop S130, Westfield Queensgate",corner of Queens Drive & Bunny Street,,LOWER HUTT,5010
Pharmacy Holdings Motueka Limited,Life Pharmacy Motueka,Nelson Marlborough DHB,,179 High Street,,Motueka,7120
Pharmacy Holdings Takaka Limited,Golden Bay Pharmacy,Nelson Marlborough DHB,,17 Commercial Street,,Takaka,7110
Pharmacy K103 Limited,Unichem Kopata Pharmacy,Hutt Valley DHB,,60 - 62 Bloomfield Terrace,Hutt Central,LOWER HUTT,5010
Pharmacy L105 Limited,Unichem Lambton Quay Pharmacy,Capital and Coast DHB,Bowen House,74 - 82 Lambton Quay,Wellington Central,Wellington,6011
Pharmacy N106 Limited,Life Pharmacy North City,Capital and Coast DHB,"Shop 125, North City Shopping Centre",2 Titahi Bay Road,Porirua City Centre,PORIRUA,5022
Pharmacy On Dominion Limited,Pharmacy On Dominion,Auckland DHB,,504 Dominion Road,Mt Eden,AUCKLAND,1024
Pharmacy On Main Limited,Pharmacy On Main Limited,Waikato DHB,,82 - 86 Main Street,,HUNTLY,3700
Pharmacy Plus (2006) Limited,Pharmacy Plus,Counties Manukau DHB,,161 Great South Road,,Papakura,2110
Pharmacy Services Limited,Papakura Marae Pharmacy,Counties Manukau DHB,,29 Hunua Road,,PAPAKURA,2110
Pharmacy Solutions Limited,Carterton Pharmacy,Wairarapa DHB,,46 - 50 High Street South,,Carterton,5713
Pharmacy Solutions Limited,Duncan's Pharmacy,Wairarapa DHB,,445 Queen Street,Kuripuni,Masterton,5810
Pharmacy Solutions Limited,Langs Pharmacy,Wairarapa DHB,,33 Fitzherbert Street,,Featherston,5710
Pharmacy Solutions Limited,Life Pharmacy Masterton,Wairarapa DHB,,132 - 136 Queen Street,,Masterton,5810
Pharmacy Solutions Limited,Mana Pharmacy,Capital and Coast DHB,,2/107 Mana Esplanade,Paremata,Porirua,5026
Pharmacy West End Limited,Pharmacy West End Limited,Lakes DHB,,227 Old Taupo Road,Hillcrest,ROTORUA,3015
Pharmacycare Northcote Limited,Unichem Northcote Pharmacy,Waitemata DHB,,"1, 3 & 5 Pearn Place",Northcote,Auckland,0627
Pharmacysave Limited,One Tree Hill Pharmacy,Auckland DHB,Bradfords Shopping Centre,Shop 4/395 Great South Road,Ellerslie,Auckland,1051
Pharmville NZ Limited,Pharmville St Albans Pharmacy,Auckland DHB,Unit 6,433 Dominion Road,Mt Eden,Auckland,1024
Pharmville Queen Street Pharmacy Limited,Pharmville Queen Street Pharmacy,Auckland DHB,,"Tenancy 2, 125 Queen Street",Auckland Central,Auckland,1010
Philip Clare Pharmacy 2011 Limited,Nawton Pharmacy,Waikato DHB,,107 Grandview Road,Nawton,HAMILTON,3200
Phoenix Pharmacy (2001) Limited,Phoenix Pharmacy (2001) Limited,Bay of Plenty DHB,"Shop 2, Phoenix House",11 Pyne Street,,WHAKATANE,3120
Picton Street Pharmacy (2004) Limited,Life Pharmacy Howick Village,Counties Manukau DHB,,75 Picton Street,Howick,AUCKLAND,2014
Pilldrop Software Limited,Pilldrop Pharmacy,Auckland DHB,,Level 1/4 Hotunui Drive,Mount Wellington,Auckland,1060
Platts Pharmacy 2016 Limited,Platt's Pharmacy,Whanganui DHB,,69 High Street,,Bulls,4818
Plimmer Steps Pharmacy (2018) Limited,Unichem Plimmer Steps Pharmacy,Capital and Coast DHB,Shop GA,354 Lambton Quay,Wellington Central,Wellington,6011
Pohutukawa Coast Pharmacy Limited,Pohutukawa Coast Pharmacy,Counties Manukau DHB,Unit 4,129A Beachlands Road,Beachlands,Auckland,2018
Point Chevalier Pharmacy Limited,Unichem Point Chevalier Pharmacy,Auckland DHB,,1209-1213 Great North Road,Point Chevalier,AUCKLAND,1022
Pokeno Pharmacy Limited,Pokeno Pharmacy,Counties Manukau DHB,,31 Great South Road,,Pokeno,2402
Pollen Street Pharmacy Limited,Pollen Street Pharmacy,Waikato DHB,Shop B,330A Pollen Street,,Thames,3500
Ponsonby Pharmacy 2018 Limited,Unichem 218 Ponsonby Pharmacy,Auckland DHB,,218 Ponsonby Road,Ponsonby,Auckland,1011
Porirua Pharmacy (2018) Limited,Porirua Pharmacy,Capital and Coast DHB,Shop 3,18 Mungavin Avenue,Ranui,Porirua,5024
Porirua United Friendly Societies Dispensary,Porirua UFS Pharmacy,Capital and Coast DHB,"Ground Floor, Shop 2",4A Cobham Court,Porirua City Centre,PORIRUA,5022
Port Chalmers Pharmacy Limited,Port Chalmers Pharmacy Limited,Southern DHB,,24 George Street,,PORT CHALMERS,9023
Premier Pharmacy Manurewa Limited,Unichem Manurewa Pharmacy,Counties Manukau DHB,,198-200 Great South Road,Manurewa,AUCKLAND,2102
Prestons Pharmacy Limited,Unichem Prestons Pharmacy,Canterbury DHB,Shop 3,420 Marshland Road,Prestons,Christchurch,8083
Prochem Pharmacy Limited,Prochem Pharmacy,Auckland DHB,,1862 Great North Road,Avondale,AUCKLAND,1026
Prohealth Pharmacy Limited,Prohealth Pharmacy,Counties Manukau DHB,,"Unit C, 230 Great South Road",Papatoetoe,Auckland,2025
Pukekohe Central Pharmacy Limited,Unichem Manukau Road Pharmacy Pukekohe,Counties Manukau DHB,,"Unit A, 149 Manukau Road",Pukekohe,Auckland,2120
Pukekohe Pharmacy (2005) Limited,Unichem Pukekohe Pharmacy,Counties Manukau DHB,,16 West Street,,Pukekohe,2120
Pukekohe South Pharmacy Limited,Pukekohe South Pharmacy,Counties Manukau DHB,,241 Manukau Road,,PUKEKOHE,2120
Pupuke Pharmacy Limited,Unichem Milford Pharmacy,Waitemata DHB,,174A Kitchener Road,Milford,Auckland,0620
Putaruru Pharmacy Limited,Unichem Putaruru Pharmacy,Waikato DHB,,"Ground Floor, 3 Duke Street",,PUTARURU,3411
QE 11 Pharmacy Limited,QE 11 Pharmacy Limited,Canterbury DHB,Shop 1,251 Travis Road,New Brighton,CHRISTCHURCH,8083
Queen St Pharmacy Limited,Queen Street Pharmacy,Nelson Marlborough DHB,,215 Queen Street,,RICHMOND,7020
Queen Street Pharmacy Limited,Queen Street Pharmacy Limited,Hutt Valley DHB,,35 Queen Street,,Upper Hutt,5018
Queen Street Pharmacy Services Limited,Queen Street Pharmacy Services Limited,Auckland DHB,,31 Queen Street,Otahuhu,AUCKLAND,1062
Queenstown Pharmacy Limited,Queenstown Pharmacy,Southern DHB,Queenstown Medical Centre Building,Corner Brecon & Isle Streets,,QUEENSTOWN,9300
Quins Gore Pharmacy Limited,Unichem Quin's Gore Pharmacy,Southern DHB,,104 Main Street,,Gore,9710
RPG Medicine Management Limited,Unichem The Palms Pharmacy,MidCentral DHB,Suite 1,445 Ferguson Street,,Palmerston North,4410
Rachelle Kazenbroot Pharmacy Limited,Netpharmacy,Auckland DHB,,109-111 Parnell Road,Parnell,Auckland,1052
Radius Pharmacy Greenmeadows Limited,Unichem Pharmacy Greenmeadows,Hawkes Bay DHB,,522-524 Kennedy Road,Greenmeadows,NAPIER,4112
Radius Pharmacy Napier Limited,Unichem Munroe St. Pharmacy,Hawkes Bay DHB,,32 Munroe Street,Napier South,NAPIER,4110
Radius Pharmacy Riccarton Limited,Unichem Riccarton Clinic Pharmacy,Canterbury DHB,,4 Yaldhurst Road,Upper Riccarton,CHRISTCHURCH,8041
Radius Pharmacy Te Rapa Limited,Unichem Rototuna Pharmacy,Waikato DHB,"Shop number 14 -16, Rototuna Retail Centre",corner of Thomas Road & Horsham Downs Road,,HAMILTON,3210
Radius Pharmacy Te Rapa Limited,Unichem Te Rapa Pharmacy,Waikato DHB,,26 Bryant Road,St Andrews,HAMILTON,3200
Radius Pharmacy Upper Hutt Limited,Unichem Maidstone Pharmacy,Hutt Valley DHB,,53 Main Street,,UPPER HUTT,5018
Radius Pharmacy Waikanae Limited,Unichem Levin Pharmacy,MidCentral DHB,,209 Oxford Street,,LEVIN,5510
Radius Pharmacy Waikanae Limited,Unichem Waikanae Beach Pharmacy,Capital and Coast DHB,,41 - 43 Te Moana Road,Waikanae Beach,Waikanae,5036
Radius Pharmacy Waikanae Limited,Unichem Waikanae Health Pharmacy,Capital and Coast DHB,,Marae Lane,Waikanae,Kapiti Coast,5036
Radius Pharmacy Wanganui Limited,Unichem Whanganui Pharmacy,Whanganui DHB,,36 Fitzherbert Avenue,Springvale,Whanganui,4501
